id,desc,desc_2,id_property_1,id_property_2,id_property_3,coeff_1,coeff_2,coeff_3,unk_20,unk_5,unk_6,amount_1,amount_2,amount_3,id_aura,slot,req_skill,req_skill_value,min_scaling_level,charges,type_1,type_2,type_3,scaling_type,unk_19,unk_15,req_player_level,max_scaling_level
25,"Shadow Oil","",14122,0,0,0.000000,0.000000,0.000000,0,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,24
26,"Frost Oil","",96089,0,0,0.000000,0.000000,0.000000,0,0,0,10,0,0,27,0,0,0,30,0,1,0,0,0,0,0,0,0
27,"Sundered","",0,0,0,0.000000,0.000000,0.000000,0,0,0,-10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
28,"+4 All Resistances","",7438,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
30,"Scope (+$k1 Damage)","",0,0,0,0.030000,0.000000,0.000000,0,0,0,1,0,0,0,32,0,0,5,0,2,0,0,-1,0,0,0,60
31,"+4 Beastslaying","",7433,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
32,"Scope (+$k1 Damage)","",0,0,0,0.060000,0.000000,0.000000,0,0,0,2,0,0,0,32,0,0,10,0,2,0,0,-1,0,0,0,60
33,"Scope (+$k1 Damage)","",0,0,0,0.100000,0.000000,0.000000,0,0,0,3,0,0,0,33,0,0,20,0,2,0,0,-1,0,0,0,60
34,"Counterweight (+$k1 Haste)","",36,0,0,0.600000,0.000000,0.000000,0,0,0,20,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
36,"Enchant: Fiery Blaze","",6297,0,0,0.000000,0.000000,0.000000,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
37,"Steel Weapon Chain","",43588,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
38,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
39,"Sharpened (+$k1 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
40,"Sharpened (+$k1 Damage)","",0,0,0,0.670000,0.000000,0.000000,0,0,0,2,0,0,28,33,0,0,1,0,2,0,0,-1,0,0,0,1
41,"+$k1 Health","",1,0,0,0.150000,0.000000,0.000000,0,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
43,"Iron Spike (8-12)","",9784,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
44,"Absorption ($7423s1)","",7445,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
63,"Absorption ($7447s1)","",7446,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
64,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
65,"+$7452s1 All Resistances","",7452,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
66,"+$k1 Stamina","",7,0,0,0.030000,0.000000,0.000000,0,0,0,1,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
67,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
68,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
69,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
70,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
71,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
73,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
74,"+$k1 Agility","",3,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
75,"+$k1 Agility","",3,0,0,0.400000,0.000000,0.000000,0,0,0,2,0,0,0,32,0,0,0,0,5,0,0,-3,0,0,0,60
76,"+$k1 Agility","",3,0,0,0.600000,0.000000,0.000000,0,0,0,3,0,0,0,32,0,0,0,0,5,0,0,-3,0,0,0,60
77,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
78,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
79,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
80,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
81,"+$k1 Intellect","",5,0,0,0.300000,0.000000,0.000000,0,0,0,3,0,0,0,32,0,0,0,0,5,0,0,-5,0,0,0,70
82,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
83,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
84,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
85,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
86,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
87,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
88,"","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
90,"+$k1 Agility","",3,0,0,0.400000,0.000000,0.000000,0,0,0,4,0,0,0,32,0,0,0,0,5,0,0,-5,0,0,0,70
91,"+$k1 Agility","",3,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
92,"+$k1 Agility","",3,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
93,"+$k1 Agility","",3,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
94,"+$k1 Intellect","",5,0,0,0.400000,0.000000,0.000000,0,0,0,4,0,0,0,32,0,0,0,0,5,0,0,-5,0,0,0,70
95,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
96,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
97,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
98,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
99,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
100,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
101,"+$k1 Versatility","",40,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
102,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
103,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
104,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
105,"+$k1 Stamina","",7,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
106,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
107,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
108,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
109,"+$k1 Strength","",4,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
110,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
111,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
112,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
113,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
114,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
115,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
116,"+$k1 Dodge","",13,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
117,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
118,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
119,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
120,"+$k1 Damage","",0,0,0,0.000000,0.000000,0.000000,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
121,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
122,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
123,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
125,"+1 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"+2 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"+3 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"+4 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"+5 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,"+6 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,"+7 Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"+1 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"+2 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"+3 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"+4 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"+5 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,"+6 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,"+7 Two-Handed Sword Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,"+1 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"+2 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"+3 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"+4 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,"+5 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"+6 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"+7 Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,"+1 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"+2 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"+3 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,"+4 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"+5 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"+6 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"+7 Two-Handed Mace Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"+1 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"+2 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"+3 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"+4 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,"+5 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"+6 Ase Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"+7 Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,"+1 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,"+2 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,"+3 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"+4 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"+5 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"+6 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,"+7 Two-Handed Axe Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"+1 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,"+2 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,"+3 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,"+4 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"+5 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"+6 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"+7 Dagger Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,"+1 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"+2 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"+3 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,"+4 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"+5 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,"+6 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,"+7 Gun Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"+1 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,"+2 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,"+3 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"+4 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,"+5 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,"+6 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,"+7 Bow Skill","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,"+$7593s1 Beast Slaying","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,"+$7594s1 Beast Slaying","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,"+$7595s1 Beast Slaying","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,"+$7596s1 Beast Slaying","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,"+$k1 Critical Strike","",32,0,0,0.000000,0.000000,0.000000,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
196,"+$k1 Critical Strike","",32,0,0,0.000000,0.000000,0.000000,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
197,"+$k1 Critical Strike","",32,0,0,0.000000,0.000000,0.000000,0,0,0,42,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
198,"+$k1 Critical Strike","",32,0,0,0.000000,0.000000,0.000000,0,0,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
199,"10% On Get Hit: Shadow Bolt (10 Damage)","",7601,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
200,"10% On Get Hit: Shadow Bolt (20 Damage)","",7614,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
201,"10% On Get Hit: Shadow Bolt (30 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,"10% On Get Hit: Shadow Bolt (40 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"10% On Get Hit: Shadow Bolt (50 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"10% On Get Hit: Shadow Bolt (60 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"10% On Get Hit: Shadow Bolt (70 Damage)","",0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,"+$k1 Weapon Damage","",0,0,0,0.060000,0.000000,0.000000,0,0,0,2,0,0,42,32,0,0,1,0,2,0,0,-1,0,0,0,60
242,"+$k1 Health","",1,0,0,0.450000,0.000000,0.000000,0,0,0,15,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
243,"+$k1 Versatility","",40,0,0,0.180000,0.000000,0.000000,0,0,0,10,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
244,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
245,"+$k1 Armor","",0,0,0,0.000000,0.000000,0.000000,0,0,0,5,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
246,"+$k1 Mana","",0,0,0,0.350000,0.000000,0.000000,0,0,0,20,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
247,"+$k1 Agility","",3,0,0,0.030000,0.000000,0.000000,0,0,0,1,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
248,"+$k1 Strength","",4,0,0,0.030000,0.000000,0.000000,0,0,0,1,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,60
249,"+$7784s1 Beastslaying","",7784,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,31,0,0,0,1,0,3,0,0,0,0,0,0,0
250,"+$k1  Weapon Damage","",0,0,0,0.030000,0.000000,0.000000,0,0,0,1,0,0,31,32,0,0,1,0,2,0,0,-1,0,0,0,60
251,"+$k1 Intellect","",5,0,0,0.000000,0.000000,0.000000,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
