id,name,unk_4,title,unk_5,id_1,id_2,id_3,unk_1,unk_2_1,unk_2_2,unk_2_3,unk_2_4,unk_3_1,unk_3_2,unk_3_3,unk_3_4,id_creature,unk_6,unk_7,unk_8
7391,"Hyacinth Macaw","","","",6192,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7392,"Prairie Chicken","","","",304,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7393,"White Plymouth Rock","","","",304,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7394,"Ancona Chicken","","","",5369,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7395,"Undercity Cockroach","","","",2177,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7543,"Dark Whelpling","","","",6288,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7544,"Crimson Whelpling","","","",6290,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7545,"Emerald Whelpling","","","",6291,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7546,"Bronze Whelpling","","","",6292,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7547,"Azure Whelpling","","","",6293,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7548,"Faeling","","","",6294,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7549,"Tree Frog","","","",6295,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7550,"Wood Frog","","","",901,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7551,"Dart Frog","","","",6296,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7552,"Island Frog","","","",6297,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7553,"Great Horned Owl","","","",4615,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7554,"Snowy Owl","","","",6298,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,14,0,3
7555,"Hawk Owl","","","",6299,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7556,"Eagle Owl","","","",6300,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
7560,"Snowshoe Rabbit","","","",328,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7561,"Albino Snake","","","",2955,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7562,"Brown Snake","","","",2957,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7563,"Blue Racer","","","",2956,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7565,"Black Kingsnake","","","",1206,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7566,"Scarlet Snake","","","",2954,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7567,"Crimson Snake","","","",6303,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7568,"Ribbon Snake","","","",2954,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7569,"Green Water Snake","","","",1986,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7570,"Elven Wisp","","","",1824,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
7952,"Zjolnir","","Raptor Handler","",7037,0,0,0,1120403456,0,0,0,6680.000000,0.000000,0.000000,0.000000,0,7,0,0
8376,"Mechanical Chicken","","","",7920,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
9656,"Pet Bombling","","","",8909,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
9657,"Lil' Smoky","","","",8910,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
9662,"Sprite Darter Hatchling","","","",6294,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
9936,"Corrupted Kitten","","","",9209,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
10259,"Worg Pup","","","",9563,9572,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
10261,"Burning Felhound","","","",1913,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,3,0,0
10414,"Patchwork Horror","","","",1693,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,6,0,0
10578,"Bom'bay","","Witch Doctor in Training","",9911,0,0,0,1120403456,0,0,0,4993.000000,0.000000,0.000000,0.000000,0,7,0,0
10598,"Smolderweb Hatchling","","","",27718,0,0,0,1065353216,1065353216,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
11236,"Blood Parrot","","","",9554,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
11325,"Panda Cub","","","",10990,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
11326,"Mini Diablo","","Lord of Terror","",10992,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
11327,"Zergling","","","",10993,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
11502,"Ragnaros","","","",11121,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,4,0,0
11822,"Moonglade Warden","","","",11774,11775,11776,11777,1103626240,1103626240,1103626240,1103626240,14475.000000,0.000000,12523.000000,0.000000,0,7,0,0
11859,"Doomguard","","","",64965,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,3,19,0
12222,"Creeping Sludge","","","",14350,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,15,0,0
12350,"Violet Riding Raptor","","","",6473,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
12419,"Lifelike Toad","","","",901,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14042,"Rytama","","Binder of the Moro'gai","",14193,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,7,0,0
14143,"Ar'lia","","The Moro'gai","",14192,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14305,"Human Orphan","","","",338,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14421,"Brown Prairie Dog","","","",1072,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14444,"Orcish Orphan","","","",14589,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14505,"Dreadsteed","","","",14554,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,3,0,0
14629,"Loggerhead Snapjaw","","","",14657,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14630,"Leatherback Snapjaw","","","",14658,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14631,"Olive Snapjaw","","","",14659,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14632,"Hawksbill Snapjaw","","","",14660,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14633,"Albino Snapjaw","","","",14661,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14744,"Frost Wolf Howler","","","",14776,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
14755,"Tiny Green Dragon","","","",14778,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14756,"Tiny Red Dragon","","","",14779,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
14878,"Jubling","","","",14938,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15186,"Murky","","","",15369,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15356,"Blue Baby Murloc","","","",15393,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15357,"Purple Baby Murloc","","","",15397,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15358,"Lurky","","","",15398,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15359,"Pink Baby Murloc","","","",15396,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15360,"Green Baby Murloc","","","",15394,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15361,"Murki","","","",15395,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15429,"Disgusting Oozeling","","","",15436,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15548,"Spectral Stallion","","","",16408,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,6,0,0
15661,"Baby Shark","","","",15595,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15698,"Father Winter's Helper","","","",15660,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15699,"Tranquil Mechanical Yeti","","","",10269,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15705,"Winter's Little Helper","","","",15663,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15706,"Winter Reindeer","","","",15904,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
15710,"Tiny Snowman","","","",13610,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16069,"Gurky","","","",15984,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16085,"Peddlefeet","","","",15992,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
16445,"Terky","","","",15398,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16456,"Poley","","","",16189,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16547,"Speedy","","","",16259,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16548,"Mr. Wiggles","","","",27681,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16549,"Whiskers the Rat","","","",2176,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
16628,"Auctioneer Caidori","","","",16694,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,7,0,0
16701,"Spirit of Summer","","","",16587,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
16800,"Grand Magister Rommath","","","",19706,0,0,0,0,0,0,0,29114.000000,0.000000,0.000000,0.000000,1,7,0,0
16801,"Halduron Brightwing","","Ranger-General of Silvermoon","",19707,0,0,0,0,0,0,0,24324.000000,24324.000000,24326.000000,0.000000,1,7,0,0
17026,"Grom Hellscream","","Chieftain of the Warsong Clan","",21575,0,0,0,0,0,0,0,24409.000000,0.000000,0.000000,0.000000,1,7,0,0
17252,"Felguard","","","",64802,0,0,0,1065353216,1065353216,1065353216,1065353216,22199.000000,0.000000,0.000000,0.000000,0,3,29,0
17254,"Ash'ana","","","",37949,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
17255,"Hippogryph Hatchling","","","",16943,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,3
18063,"Garrosh","","Son of Hellscream","",17452,0,0,0,0,0,0,0,23428.000000,23428.000000,0.000000,0.000000,1,7,0,0
18075,"Mannoroth","","","",17469,0,0,0,0,0,0,0,28365.000000,0.000000,0.000000,0.000000,1,3,0,0
18377,"Swift Red Wind Rider","","","",17719,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1,0,0
18381,"Netherwhelp","","","",17723,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
18839,"Magical Crawdad","","","",18269,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
19044,"Gruul the Dragonkiller","","","",18698,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,5,0,0
19622,"Kael'thas Sunstrider","","Lord of the Blood Elves","",20023,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,1,7,0,0
19935,"Soridormi","","The Scale of Sands","",20222,0,0,0,0,0,0,0,30441.000000,0.000000,0.000000,0.000000,1,2,0,0
20245,"Mr. Kitty","","","",9989,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
20246,"Manny","","","",9990,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
20247,"Kitty","","","",5556,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
20350,"Kel'Thuzad","","The Kirin Tor","",19548,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,7,0,0
20408,"Mana Wyrmling","","","",19600,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
20472,"Brown Rabbit","","","",4626,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
21008,"Yellow Moth","","","",19985,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21009,"Red Moth","","","",19986,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21010,"Blue Moth","","","",19987,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21018,"White Moth","","","",19999,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21055,"Golden Dragonhawk Hatchling","","","",20026,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21056,"Blue Dragonhawk Hatchling","","","",20029,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21063,"Silver Dragonhawk Hatchling","","","",20037,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21064,"Red Dragonhawk Hatchling","","","",20027,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21076,"Firefly","","","",20042,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
21266,"Ravager Hatchling","","","",20155,20160,0,0,1065353216,1065353216,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
22174,"Trigul","","","",18194,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,1,1,0,0
22328,"Toy RC Mortar Tank","","","",15382,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
22445,"Miniwing","","","",20996,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
22484,"Zeppit","","","",21048,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
22514,"White Riding Talbuk","","","",21076,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
22522,"Super Thrall","","","",4527,0,0,0,1065353216,1065353216,1065353216,1065353216,21679.000000,0.000000,0.000000,0.000000,1,7,0,0
22817,"Blood Elf Orphan","","","",19315,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
22818,"Draenei Orphan","","","",19091,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
22943,"Wolpertinger","","","",22349,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23114,"Lucky","","","",21304,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23159,"Okuno","","Ashtongue Deathsworn Quartermaster","",21345,0,0,0,0,0,0,0,14707.000000,0.000000,0.000000,0.000000,1,7,0,0
23198,"Lucky","","","",21328,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23220,"Shivarra Assassin","","","",21527,0,0,0,0,0,0,0,28133.000000,28133.000000,0.000000,0.000000,0,3,0,0
23231,"Willy","","","",21381,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,3
23234,"Bananas","","","",21362,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23258,"Egbert","","","",21382,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23266,"Peanut","","","",21393,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23274,"Stinker","","","",16633,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23439,"Hungry Nether Ray","","","",21155,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23909,"Sinister Squashling","","","",21900,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
23944,"Essence of Zul'jin","","","",21934,0,0,0,1065353216,0,0,0,21465.000000,21465.000000,0.000000,0.000000,1,7,0,0
24266,"Arthas, Lich King","","","",22234,0,0,0,0,0,0,0,33475.000000,0.000000,0.000000,0.000000,1,6,0,0
24267,"Arthas, Dark","","","",22235,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,6,0,0
24268,"Arthas, Human","","","",21976,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1,7,0,0
24388,"Toothy","","","",22388,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
24389,"Muckbreath","","","",22389,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
24480,"Mojo","","","",28501,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
24753,"Pint-Sized Pink Pachyderm","","","",22629,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
24968,"Clockwork Rocket Bot","","","",22776,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
25062,"Tiny Sporebat","","","",22855,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
25109,"Rocket Chicken","","","",22903,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
25110,"Dragon Kite","","","",22966,22990,22991,22992,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
25146,"Golden Pig","","","",21304,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
25147,"Silver Pig","","","",22938,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
25165,"Lady Sacrolash","","","",23177,0,0,0,0,1065353216,1065353216,1065353216,31609.000000,31609.000000,0.000000,0.000000,1,3,0,0
25180,"Fast Black War Ram","","","",14577,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,1,0,0
25706,"Searing Scorchling","","","",8409,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
26050,"Snarly","","","",23507,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
26056,"Chuck","","","",23506,0,0,0,1065353216,0,0,0,0.000000,0.000000,0.000000,0.000000,0,12,0,0
26119,"Phoenix Hatchling","","","",23574,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,3
26243,"Crimson Serpent","","","",15923,0,0,0,1065353216,1065353216,1065353216,1065353216,0.000000,0.000000,0.000000,0.000000,0,12,0,0
26499,"Arthas","","Prince of Lordaeron","",24949,0,0,0,0,0,0,0,37579.000000,0.000000,0.000000,0.000000,1,7,0,0
26613,"Arctic Grizzly Cub","","","",23946,23947,23948,0,1077936128,1073741824,1065353216,0,0.000000,0.000000,0.000000,0.000000,0,1,0,0
